Datetime,username,Text,language,coordinates
2019-07-20 22:56:52+00:00,Whilhorst,@Doctor_Cupcakes @AndreSegers I've been so mad about the vent cover slowing breaking down. If I want to get it repaired I have to send in the entire console and warranty won't cover it anymore...,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-07-19 16:38:01+00:00,julalouise,"@AMBLE_Baltic @Seebataillon @chiefdeunavy @marinespox @SchneiderKarWHV @Flot1DeuNavy @Com1DEUCorvSqn @rekesten @ScheffMan66 @Moritz_Plettau @monday849 Hahaha, size XXL. I have to be satisfied with having an idea every now and again. Country doctors have long since seized to be viable sponsors for anything, even if they were trained at RWTH Aachen! For the shirts, @_Alfashirt_ are the definite go-to guys!",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2019-06-29 08:39:29+00:00,JoepLindeman,@RobertMalewicz @JeroenSoeteman Was ze maar onervaren. Doctor in de rechtsgeleerdheid (strafrecht). Hier is eerder sprake van “Opportunistische onwetendheid” (vrij naar Röling).,nl,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-06-25 22:36:41+00:00,Jorden1506,@xCriticalBeast @Doctor_Cupcakes He just changed his bio to delete the part about being a mod 😂,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-06-25 16:08:17+00:00,voellig,"but doctor, https://t.co/bi1o6HlxYj",en,"Coordinates(longitude=5.0983024579397, latitude=52.079569754626)"
2019-06-14 10:52:35+00:00,HappiTuna,She really left her cat dying because she felt love with a doctor?? This is so wrong :s https://t.co/NIU5DwgKL4,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-06-13 06:56:30+00:00,HappiTuna,This is actually nice because Black and White did this similar to add doctor trainers everywhere. https://t.co/z81nMD1BHu,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-06-04 18:54:52+00:00,ggmspeijer,"@himsseurope @PetraWilson11 Thanks.@angela_pgli! So excited to present 'the doctor ready for the 4.0 #health and #care landscape': #datadrivendoctor 
#pinksocks #putdata2work https://t.co/7vYpOWV908",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2019-06-04 18:49:50+00:00,CKoppenhagen,Never to old or to wise for introspection.Peter Brindley: Doctor Narcissus will see you now - https://t.co/32emCuQsCg,en,"Coordinates(longitude=5.1927806, latitude=52.0585255)"
2019-05-30 08:15:44+00:00,Cimyne,"@jhog667 - my 'doctor' is a 'fool'. 
It was er serious problem, - I did not found 'a women'- take  this picture as 'genderneutral' 🥴 https://t.co/stABiCFKOT",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
